
2025/02/06 (21:23:35) | ===> btop++ v.1.4.0
2025/02/06 (21:23:35) | WARNING: Failed to join _runner thread on exit!

2025/02/06 (21:25:11) | ===> btop++ v.1.4.0
2025/02/06 (21:25:11) | WARNING: Failed to join _runner thread on exit!

2025/02/08 (14:22:02) | ===> btop++ v.1.4.0
2025/02/08 (14:22:02) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (06:47:36) | ===> btop++ v.1.4.0
2025/02/19 (06:47:36) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (06:51:51) | ===> btop++ v.1.4.0
2025/02/19 (06:51:51) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (15:35:26) | ===> btop++ v.1.4.0
2025/02/19 (15:35:26) | WARNING: Failed to join _runner thread on exit!
